id,unit of measure (per pack),line item quantity,line item value,pack price,unit price,line item insurance (usd)
69,100,1500,120000.0,80.0,0.8,192.0
81483,60,525,3465.0,6.6,0.11,4.86
92,100,1000,80000.0,80.0,0.8,128.0
108,60,5513,140581.5,25.5,0.42,224.93
115,240,1000,1920.0,1.92,0.01,3.07
116,120,500,41095.0,82.19,0.68,65.75
130,100,750,53992.5,71.99,0.72,86.39
134,100,25,8750.0,350.0,3.5,14.0
138,25,10000,200000.0,20.0,0.8,320.0
139,25,10000,200000.0,20.0,0.8,320.0
140,25,10000,200000.0,20.0,0.8,320.0
161,60,64000,99200.0,1.55,0.03,158.72
176,20,10000,270000.0,27.0,1.35,432.0
262,200,40,317.6,7.94,0.04,0.51
269,30,1000,17000.0,17.0,0.57,27.2
270,60,400,3352.0,8.38,0.14,5.36
284,100,1500,15.0,0.01,0.0,0.02
305,100,650,6.5,0.01,0.0,0.01
343,200,200,340.0,1.7,0.01,0.54
361,100,2,278.0,139.0,1.39,0.44
391,40,476,36176.0,76.0,1.9,57.88
392,25,659,13180.0,20.0,0.8,25.83
398,100,240,2.4,0.01,0.0,0.0
399,100,213,2.13,0.01,0.0,0.0
400,100,63,13399.25,212.69,2.13,21.44
410,100,1634,117631.66,71.99,0.72,188.21
411,20,1425,38475.0,27.0,1.35,61.56
414,100,142,10222.58,71.99,0.72,16.36
420,30,8400,96432.0,11.48,0.38,154.29
422,270,6,405.06,67.51,0.25,0.65
423,200,600,870.0,1.45,0.01,1.39
438,60,400,2800.0,7.0,0.12,4.48
459,60,6,77.1,12.85,0.21,0.12
464,100,5498,439785.02,79.99,0.8,703.66
465,100,5498,54.98,0.01,0.0,0.09
466,20,15,691.42,46.09,2.3,1.11
530,30,1344,18359.04,13.66,0.46,29.37
531,60,20,103.4,5.17,0.09,0.2
532,30,100,1906.0,19.06,0.64,3.05
533,200,670,1025.1,1.53,0.01,1.64
535,30,2597,61470.99,23.67,0.79,98.35
543,100,28,9800.0,350.0,3.5,15.68
551,100,84,11676.0,139.0,1.39,22.88
598,60,30,1049.4,34.98,0.58,1.68
610,60,38640,92736.0,2.4,0.04,148.38
630,540,34,1547.68,45.52,0.08,2.48
637,60,42000,60900.0,1.45,0.02,97.44
646,240,50,696.5,13.93,0.06,1.11
660,30,16800,171192.0,10.19,0.34,335.54
668,25,98,3675.0,37.5,1.5,5.88
670,100,4500,323955.0,71.99,0.72,634.95
712,20,10,320.0,32.0,1.6,0.51
717,40,500,38000.0,76.0,1.9,60.8
719,12,25000,9750.0,0.39,0.03,19.11
772,30,9,453.6,50.4,1.68,0.89
791,100,150,10798.5,71.99,0.72,21.17
796,2,15,450.0,30.0,15.0,0.88
797,25,319,6380.0,20.0,0.8,12.5
835,30,80,1830.4,22.88,0.76,3.59
836,30,120,2745.6,22.88,0.76,5.38
837,200,600,858.0,1.43,0.01,1.68
838,60,7,91.35,13.05,0.22,0.18
2947,60,400,600.0,1.5,0.02,0.96
839,300,40,1375.6,34.39,0.11,2.7
849,25,108,4050.0,37.5,1.5,7.94
858,30,50000,2520000.0,50.4,1.68,4939.2
914,100,140,2731.4,19.51,0.2,5.35
937,20,5700,182400.0,32.0,1.6,357.5
960,60,5964,51350.04,8.61,0.14,100.65
961,60,21000,50400.0,2.4,0.04,98.78
962,60,10560,72864.0,6.9,0.12,142.81
979,60,2352,20250.72,8.61,0.14,39.69
985,300,524,21536.4,41.1,0.14,42.21
986,60,2094,21526.32,10.28,0.17,42.19
993,30,8249,185602.5,22.5,0.75,363.78
1037,30,200,4734.0,23.67,0.79,9.28
1046,60,80,760.0,9.5,0.16,1.49
1047,200,32,402.88,12.59,0.06,0.79
1048,60,46,472.88,10.28,0.17,0.93
1063,30,3025,47522.75,15.71,0.52,93.14
1065,30,3500,49840.0,14.24,0.47,97.69
1066,240,1008,3588.48,3.56,0.01,7.03
1067,200,960,1152.0,1.2,0.01,2.26
1068,240,1800,10512.0,5.84,0.02,20.6
1070,60,1200,3384.0,2.82,0.05,6.63
1077,240,346,1954.9,5.65,0.02,3.83
1078,30,5300,16642.0,3.14,0.1,32.62
1079,240,342,1932.3,5.65,0.02,3.79
1080,60,2700,10665.0,3.95,0.07,20.9
1084,120,3735,134385.3,35.98,0.3,263.4
1085,60,6000,80640.0,13.44,0.22,158.05
1086,60,11672,35016.0,3.0,0.05,68.63
1095,100,20,7000.0,350.0,3.5,13.72
1109,120,10240,420864.0,41.1,0.34,824.89
1110,336,400,15344.0,38.36,0.11,30.07
1111,300,30,1080.0,36.0,0.12,2.12
1114,30,80,2816.0,35.2,1.17,5.52
1115,60,1000,19770.0,19.77,0.33,38.75
1122,100,60,21000.0,350.0,3.5,41.16
1134,100,7500,600000.0,80.0,0.8,1176.0
1140,100,6395,511600.0,80.0,0.8,1002.74
1156,30,55356,386384.88,6.98,0.23,757.31
1162,40,1000,110000.0,110.0,2.75,215.6
1179,336,8,613.76,76.72,0.23,1.2
1183,60,3500,39025.0,11.15,0.19,76.49
1196,100,5,1750.0,350.0,3.5,3.43
1198,25,67,5025.0,75.0,3.0,9.85
1213,60,400,2800.0,7.0,0.12,5.49
1215,20,220,7040.0,32.0,1.6,13.8
1221,84,50,490.0,9.8,0.12,0.96
1222,60,5000,41300.0,8.26,0.14,80.95
1223,240,460,2838.2,6.17,0.03,5.56
1306,60,25000,187500.0,7.5,0.12,300.0
1337,60,1577,14981.5,9.5,0.16,23.97
1347,100,3500,280000.0,80.0,0.8,448.0
1350,60,4270,40565.0,9.5,0.16,64.9
1356,240,1000,1920.0,1.92,0.01,3.07
1357,240,1000,2100.0,2.1,0.01,3.36
1358,240,1000,2100.0,2.1,0.01,3.36
1359,60,3000,40500.0,13.5,0.22,64.8
1360,30,22500,277425.0,12.33,0.41,443.88
1361,120,500,41095.0,82.19,0.68,65.75
1383,25,10000,200000.0,20.0,0.8,320.0
1502,30,1609,27353.0,17.0,0.57,43.76
1512,300,30,1447.8,48.26,0.16,2.32
1513,30,100,2850.0,28.5,0.95,4.56
1519,336,100,18333.0,183.33,0.55,29.33
1527,20,10000,270000.0,27.0,1.35,432.0
1529,60,1099,30222.5,27.5,0.46,48.36
1530,60,1200,2100.0,1.75,0.03,3.36
1531,100,50,17500.0,350.0,3.5,28.0
1549,100,650,51993.5,79.99,0.8,83.19
1587,60,100,573.0,5.73,0.1,0.92
1593,20,450,14400.0,32.0,1.6,23.04
1594,20,10270,277290.0,27.0,1.35,443.66
1618,20,9000,288000.0,32.0,1.6,460.8
1628,20,6040,193280.0,32.0,1.6,309.25
1634,100,4300,43.0,0.01,0.0,0.07
