book_ISBN,title,publisher,author
1111,Intro to Programming,Wiley,John Doe
2222,Data Structures for Beginners,Pearson,Jane Smith
3333,Database Management Basics,Wiley,John Doe
4444,Electromagnetism Essentials,McGraw-Hill,Alice Johnson
5555,Algorithms Unleashed,Wiley,Ken Thompson
6666,Network Security Handbook,Pearson,Emily Wilson
7777,Web Development Secrets,McGraw-Hill,James Davis
8888,Artificial Intelligence Explained,Wiley,Ken Thompson
9999,Operating Systems Fundamentals,Pearson,Emily Wilson
1010,Software Engineering Principles,McGraw-Hill,James Davis
1212,Calculus Made Easy,Wiley,John Doe
1313,Computer Networks Demystified,Pearson,Jane Smith
1414,Robotics and Automation,Wiley,Ken Thompson
1515,Control Systems Mastery,McGraw-Hill,Alice Johnson
1616,Data Analysis Techniques,Pearson,Emily Wilson
